,ID,Review URL,Text,Star,Thumbs Up,User Name,Review Date,App ID,predicted
56,3942,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEuLzuEoEZ0ofaEot9WxFxmQv6ESdkN5N_u1CORZSmNkhi-oidyKvocBe0nfqGrC-JuZL6Jf5ms7BkV9nE,👎,1,0,Michael Kuhn,2020-12-19,com.android.chrome,1
59,3945,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHNdCwesDTSPoMeJfjWZeFubVZzFtY-qSbfHyKUQuGg3htjvzQiiH2be2xa6cYVlAPgicBHPn9g8x5W4V4,Don't know why chrome started controlling the chromatic effect. Every time I scroll or try to copy paste anything from chrome it automatically start changing the blue light filter on it's own. That's too sore to eyes. Please remove or provide us with an option to block it,1,0,Shashank Shekhar,2020-12-19,com.android.chrome,1
62,3948,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFL2rTC4AqEb1Mpe0boW58361bQ58nhWZvHm-ec-_PZ3bh1ocaxRAWPbFcKYLTs0_SdNth5Id49iMcuzFw,Its not updating.,1,0,Yasmin Gorospe,2020-12-19,com.android.chrome,1
65,3951,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGAHHhklokZ2f4NmkdLLzjONP9_EmhUT3B4ZRUjd4ZPRpW_QnsLSW0Rk2WvJpwVVAukcg_0CvFSAB7Fq6g,App not updating please fix it 🙏🙏🙏,1,0,Shyam Sah,2020-12-19,com.android.chrome,1
68,3954,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFqLRU00rqxzTDNmc81hmat6NZcIadcTyXsSEgOZaCnL8ZyW9ZDuAAI4FBcAdErLIA0-xcZIrup7-9XJko,Been having difficulties updating for months,1,0,Ebony Barrett,2020-12-19,com.android.chrome,1
72,3958,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHj2ZOmStrYPccF1UsZsi-ahGrVaDRnGKoNQzkxr9J6qc9KGe7ffeOPsJg9M3EmkuGEIAoqGKQi7Enp39M,Sir my Chrome does not update please give me solution,1,0,vishal yadav brothers,2020-12-19,com.android.chrome,1
73,3959,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHU8kKL6Naikhj02bNEJfyhnuvt7BOG-0KfFKHHEeymR79_6Z7cFOJo8I0JsjX2AQXOBZ4IJFsgztw78a8,Cannot use the app because I cannot update the app.,1,0,Jonah Howell,2020-12-19,com.android.chrome,1
77,3963,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGfrxlyjSAHfiHfr3Pe0Z0rbPz3g6xzJp0QXQVuSZdVrVF9Sx23rSRIoXUaITkiFxFDBPzXoAvz18R1b9Y,Bad app,1,0,Jayamon Ct,2020-12-19,com.android.chrome,1
84,3970,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGOOAdhGCAXmcQo7O1pJ_OAsvieRxJga5kLViwlQt6YfRSDkp456GE9XIMRMCs1-F9obFoY-lo8Q9oWRYM,App updated issue,1,0,Umesh Pandhare,2020-12-19,com.android.chrome,1
87,3973,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHIII8aUcpenPLAv_GOE8hVOaYe3I0mACJUH98jXdx7zmJ3QuV5nAzS4k3uyHn6JhsgCSwiy6kGFai-IPU,Chrome is crashing again and again...Can't open new tab or can't process a link.....😡,1,0,Bruce Lee,2020-12-19,com.android.chrome,1
89,3975,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHQgOrFxyvdQyfaZipGTiv286KmDFlK2MVrfuFa4nPfWqiTXfDVMrcsFQd1Oo2IBU2ZIZYpkXwkADxCO4g,"update of crome on the google play store is not available,long time this problem is not fixed",1,0,Darshan Khambholja,2020-12-19,com.android.chrome,1
91,3977,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGTixBCZLA031UABivOlcu2eZB94bUnht6DeCjKLkfi-yMySnyBtFVrPRNXcXS2_pI0N9NwKjLEU8QmJM8,Jelek..........?!!!!!!!!!!!!!!!!!,1,0,Ainiyyah official,2020-12-19,com.android.chrome,5
92,3978,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHcrcRNoPplqscVEXofGsZo7PuAEUXWRjXvAfSc4gcnXOTQMyFOdXSFvXXeWFp67jF9ioVTi9L6e8dWrwQ,"For some reason, not able to u Update this app.",1,0,NIRANJAN cse,2020-12-19,com.android.chrome,1
93,3979,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGC2LeXqIh4EHLeKIn4_k2B8gtRO_LBxur8mqBsslUUHQZWSqhsaluWjcaoCID0KKKGz2Uf6Dm7bN-IsKI,Not able to update Chrome since months.,1,0,myGamingSkills86,2020-12-19,com.android.chrome,1
101,4113,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGam4O8tkplGZra_QgwRA5DaQMrhf5lXRq56BIaXtzvGBhkPNA_koAhjIkC8B1KXViBKVCq9l3T1WT5w60,Good,1,0,Sohail Soomro,2020-12-21,com.android.chrome,5
102,4092,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH0LaZ49JbgGzzt0vuRAgHINjX2FnnL3Bl2sja8WcVm0nyzQSzSmrv2WTsxq53GirTe6JODCrqbSfly1t0,Says update but wont this whole thing is like its not even google im lost,1,0,shayne andrew,2020-12-21,com.android.chrome,1
105,4087,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFSZ8mK_AuvecySR2NTXdhEAcu4DtFIuHpHN0Adnxm5DFF1LjRp6H6L-Mj7M5B4_zpuPaYsjMd7Z1RTqrU,App not update plz halp,1,0,Subham Dey,2020-12-21,com.android.chrome,1
108,4090,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEH3S122xtCLflH6deRjc5YKE8rMmahYMnGICmOLTYzfH3Ff1PxitXTmhgYIvfl9fItDbidctV6jGWTiyo,"I can't download I,so , I give only one star.",1,0,ertughul khan ghazi,2020-12-21,com.android.chrome,1
115,4100,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG9pje8Ez23aD5E-ZXLxK2aPWW5EM6aEgt-v0BHev-uv7UpYUMSzsbwUdNcLraUc_qhJQTpO7WDpSVeHuo,This really sucks,1,0,Evil Luc4,2020-12-21,com.android.chrome,1
119,4104,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGWkw3M20jkgDye2RhDxPaffgEmWekqIYIWiTs15xbhjsMKQkrKaitVTB54kZh6iewCRcOCeQFEV1kdo7E,It is slow when i use wife,1,0,Smok Luscious,2020-12-21,com.android.chrome,1
122,4107,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFsRIgjHyOwgg-qQFqZCG5l6I94K0qP9gRv5cRutY4Ltg9p8ayxLxy1r76NNVonSCmzcoTYmds6v-XVxtg,always offline,1,0,Brian Mahinay,2020-12-21,com.android.chrome,1
125,4110,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEVuO05TVrUTdv59qPPnGW9S63HZrQQ4l9psQrPEyU8aHNmieRC99Nj4fafv1tqRbwUuMMCQIr3jCpHhjg,Nowadays updating problem is there,1,0,Arjun B,2020-12-21,com.android.chrome,1
129,4115,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFIVPjsq2t-Pw4RfzpF-Y6p0QyNWDCMP5quJSUUWnT4iv-KFJP-QIxie0VPBmun1yiAH2pJ3HLTOjMn-c0,Unable to update this app,1,0,Asmita Mishra,2020-12-21,com.android.chrome,1
132,4118,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE9NuUvS618SKItlD6cnMCgDzzV07ucVJNx3z1F98KNWgoZCXS1_adPo1sP2WpamuHPOneHreMsgFypvXA,whenever i open chrome automatically crash the page,1,0,Aamish Ayyub,2020-12-21,com.android.chrome,1
134,4120,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFF13qh3XcEIXkASl5dDXPjoU1etUKCK4pano0oCD0Irrx4EGb7s7i8aWrWEZLxZOW-8MhlmHFw_W9nucw,My MP3 songs are not downloading in music file WHY?????,1,0,Aashi Soni,2020-12-21,com.android.chrome,1
142,4128,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEImj1kKDFGNyArPkG73TKqOD1TYv7p-v85RsgBCCMlt75f8mpCdJeY0q0-DNxB0n31WMT7zpvgqqVx9ZA,Can't update to new version.,1,0,Shubham Stark,2020-12-21,com.android.chrome,1
147,4152,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFW_Bgk0L3FhomzqooIbEQr4fQ8cbmi9w2ZDQm8xt7Z9pNAP_G55VVl9F9a1WdyEL8JINuAhIfy0xtoS9Y,Can not update the program.,1,0,Kunigelis,2020-12-21,com.android.chrome,1
148,4133,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFdcgtnQCSVrA7W6tihohdxqK9zF6WPG0Qd4PiH-WMbfeVLPixGuB9WJq10hAac5CfeW9u5NIUMjhkWs4g,Why suddenly dual apps of Google chrome appeared on my phone?? And i can't erase it. Also latest update made my phone's reading mode turned off automatically while browsing.,1,0,Antonius Rio,2020-12-21,com.android.chrome,1
149,4134,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEbX2a8NEZQxob9OlPwpAXrzUE8_XB5Fag3rwDv0YVME3G_zQlUZs9v2bDbvLhcYw1NGZuZcLh-DKOoh6Q,Worst to all browser. Rating should ( -5 ☆),1,0,Shubham Karn,2020-12-21,com.android.chrome,1
158,4143,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGs_j9GCuk-trSJbRPlg6IkMe-qW2E4y3w_JWVB13VsHf-cG2kgt0BntS_WQreeBro6hE8wqN0oWHDpBgs,Good,1,0,Md Rubel khan,2020-12-21,com.android.chrome,5
159,4144,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEgl78GFbIC-W6MyfYuvFJNVrCH13rw372ZM5WvP1gL9JJUW4gFjcJb3co6Rp7u4ZeBw5jAeUEdj0nhTz4,Chrome is not updating please solve my issue,1,0,ritika deb,2020-12-21,com.android.chrome,1
162,4147,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGZU6sD21NHht-_ro4HNU_QTByOjMySjpx6J3nsiSkRRrXKJhcWwB3EqtMs5ady-HG9wRa8tzeSfv2gmyg,okI'llbeIisand tellarroad karkal,1,0,Chaitanya S,2020-12-21,com.android.chrome,5
168,4154,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGumRulcgIsQoxo3sYdk91HGMQuy_MrGxDlSrQf1PLFdvvcTYB0dlTGf-0GlO9mCTwSTSiFRplHIKaRr5Q,Rules of admission in rehabilitation centre in Bagayam,1,0,HD STAR,2020-12-21,com.android.chrome,1
199,4185,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHvs-SKGEq8lKtsc3FKjWjkoalxcDEcRrchWyb1SmfRC71n13zUacalfDQb8VnSRCx1sRv9nkLSIMi6Gdg,Open my chrome app,1,0,Anol Sarker,2020-12-21,com.android.chrome,5
213,5171,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHL-EAWYHUzEPhc1auGISx65nFAs_lL_d06_aZFvfZFd8wOlQYwtN1KXtaA-W3xxWWKDU0Lzh89e7gPrlI,This is not working..what should I do?,1,0,Carolyn Camilla,2020-12-21,com.android.chrome,1
225,5185,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHCpV6XE3enxSq3LotV7NIR7M6r9QfjSlcl6Eh4h5nQ7Bb3yOe1ge0o_FwxACsY7su0_gSV7pJAZ317IWM,Z be l nook look t mm vmll and as aaàafjio cft KK Ann t z g,1,0,Vakaloloma Tawatatau Tawatatau,2020-12-21,com.android.chrome,1
226,5186,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG_73Na16kD1dKontoFBRnZ33D-qPXW5E2gSWSm00dTqCksPEKEgbDk67-gYr2y6ZCtl8_n4lHCm726-Dk,Vinay,1,0,Ramsurat Ramsurat,2020-12-21,com.android.chrome,5
228,5188,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHgRpO5FIguGugD5lxdsfcLNSGGDyhfldcolX0kMQiZACkMYHAoWiTtNq5UWq0fLHqvhpBHHC4icJGS9Qc,Been tripping all week. It won't update. Horrible horrible problems. Newer version won't update,1,0,Earlene Winfrey,2020-12-21,com.android.chrome,1
230,5190,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFg_fTJGYEZRcBreWTw5NupdNB3-CD3lrVUYfZ3AugmRjQWc_90NWF0ifYI3scPOAFPd-cG2-ufhHFKYDs,Very dissapointed with new updates. I'm not even able to update no matter how many times I click update.,1,0,Anitha Satheesh,2020-12-21,com.android.chrome,1
231,5191,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHPKz8Kla6ij8izUZY0QT0pWsT57Pm6cqfxnadulGO6aRHoTBk4vtIadGEC54gaT7HZzrbgIpKahWlK2f8,The worst never downlowd dosent even work stupid app,1,0,Nicole Alibo,2020-12-21,com.android.chrome,1
232,5192,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGunQFYWdkA325P2AtHYPqBX3OjRoXUOyblA6znnAZwdb9fCpQo_Wcyr42QY15Y2sXx-LOaL2qO31JyiqQ,Unable to update And crash too much.,1,0,ALL IN ONE ENTERTAINMENT,2020-12-21,com.android.chrome,1
233,5193,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFT0XRPQ1lRHREGdw5fnefeXF5EKzYeTXmoLe8vKNdel2OttiXu_sZJMU159Gr4f8RCMnBltPZhmqyv7og,Update not proceeds due some technical issues Let resolve it,1,0,Dharamshi Patel,2020-12-21,com.android.chrome,1
236,5196,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHYZOA4gOajbW8OCXbVejppfbY47873FBiK3R-FtHeouRi0MIVvPsliR0s6YC4SeQbZs01NEr5rA8DGkJ8,"I have an annoying pop up com.sec.android.app.chrome customization that I cant get rid of and it's driving me insane. I've forced stop, cleared cache, cleared data, switched off and on again. Uninstalled update then reinstalled. And freed up a load of space. I've sent crash reports. I've contacted the developer (You!) And it's close to tipping me over the edge. It's been ever since this update, please fix it 🙏🏼",1,0,Nicky,2020-12-21,com.android.chrome,1
244,5204,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGUKkdEQrVLpiopjHMoiPoAC8i8mtiEYZtE8hXGZJF3BbemTen16Tzf2TOB0_Gh52U7TjJSAZysuldmdKY,My phone will not allow me to update this useless app that I would never use and it won't GO AWAY!!!,1,0,Hash Dawg Heezy,2020-12-21,com.android.chrome,1
245,5205,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFd_7Nc6N_9U7te-_0nuKnhNAVU7SWNgYuUW31CH-bkboTMIBqvoqWXoTF-xB89IPlnoOjpxgZk8-jPp-w,Google lens sucks monkey butt,1,0,Whiterun Gaurd Number 75,2020-12-21,com.android.chrome,1
252,5212,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGLHVtj_tTsCog83Y-cYJZ5ul-FfYK38k2FfB0uzU7u2VF-rxgl6sTWW8l2-S4F42gIgwtImBU0gGyI3vM,Uninstall,1,0,Kathy Jones,2020-12-21,com.android.chrome,1
254,5214,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEDQiokzKMB3679uAMna7gSwrFJtHzwq228xT4LppSWlxejczZesHzJugkWaDCwgk24nZKT9zuX1u4cs7g,I cant update chrome,1,0,Adebayo Afeez,2020-12-21,com.android.chrome,1
255,5215,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHVlPRER3C1rHSMwMFxCruX1oAgL6upjlw_GpVjRXVa68O8Wpxrdn-2UKwznzl2iM_ER0hkps6gv1US7Uk,Not faster reliable I want to get an APK it's not going to be downloaded,1,0,just some kid just some kid,2020-12-21,com.android.chrome,1
258,5217,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE1tZtXYjKMBk7IVNMJGnmuQOaaYZ1JxNztiGieGHGJblHpUwgYA6GeSMoeAScQf1Whlp_TY4jaI-tDcAk,It is the best app for browsing,1,0,Favour Nwaejikoma,2020-12-21,com.android.chrome,5
259,5218,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEG51ykSTV1IaCYtVUkOVMbakQ0Bd_n322h4emsjQcekYfZ1qmxNg3-YcNA6BGAM76n2AF-zvfm1HDUngQ,Cannot update..disappointed,1,0,Kayyisa Sofea Stories,2020-12-21,com.android.chrome,1
261,5220,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHtJaKMgR8djqX4w6bs5HwrP9gaS8XFONbBz-Zp9Ghv0CwXsERd2Mi_L5euajwA8OLkd487YTkFpZhjnZI,Can not open.,1,0,Jack Campidonica,2020-12-21,com.android.chrome,1
270,5229,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHk_PFqJ30qPVpYuBEe8VoXwr9hdvXypYZaP8KjMicSE8EZnDFK666mK73Tpei3x71pf1pck7__D7lQcCU,It crashes every time I search something honestly its like each update gets worse,1,0,Average Anime lover,2020-12-21,com.android.chrome,1
271,5230,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH-jfGxo0ZIZojf3AUZhORgZzinCkf_4anSQZvjlBDstXPeCZqPSpyuOMo7WDdcCCi9IhOnmmIJfNMTUvg,"Google team, Chrome is not getting updated from Google Play Store also. What to do.",1,0,Kapil Singh,2020-12-21,com.android.chrome,1
272,5231,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH3tVqXiT4xuNCnVo1N425NnFMnmgTT3R94exOHKIwC2vGIfrOWyaGMzyIb-lOfJ3GxxpvwQA96DEFhoXo,"I Depend on CHROME to GET it Right ‼️💥‼️ Moreso, TO KEEP IT RIGHT!! NEW msg reflects last update 12•12•2020 and still reflects Critical Update (... VULNERABILITY that May allow access to critical information, still trying... AGAIN! AGAIN!!) ‼️💥‼️ ALERT ‼️💥‼️ UPDATE AGAIN 12•21•2020. (same schidt, different day!! FIX THIS!!) Cache CLEARED, History CLEARED, Duplicates DELETED!!! C'MON GOOGLE 🤣🤣🤣 ELECTION INTERFERENCE AT IT'S FINEST (NOT)🤣🤪🤣🤪",1,0,Chritter B,2020-12-21,com.android.chrome,1
277,5237,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFA9EDUYPosQ-Lr66VgYR9Z2vhzC0oYyc-N0iZoE-mKLt4J0omm8scntuJEi9BL4NeJwv_wOlQaSBmGq_I,"Dark mode is acting up and changing screen light to super bright on it's own , super annoyed",1,0,darko vujosevic,2020-12-21,com.android.chrome,1
284,5244,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGt5duUjq1XqnTNdzZWP-nGE-xPu_ylDviNEGVOrhXGa6WIWVr0Gn_vndDntRN5NRylwhGQfvJF9XIZFlE,I'm unable to update croma I'm trying so many days it's not updating please check and resolve simply wasting my time,1,0,chethan sathvik Gowda,2020-12-21,com.android.chrome,1
289,5249,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHWD3a9Jdx9RtthDbszA9R_9qollz1SOESHXfINdz2mp_abp8Ij7Faqj3BUMXloNDChyBXvGy9ZrJI2hM8,"Latest update turns my screen pink on some web pages I keep uninstalling the latest updates as it seems to be the cause. Please Google sort it out, also does it on smart assistant on my oppo Reno 2",1,1,Greg Astin,2020-12-21,com.android.chrome,1
291,5251,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFVZ1m9gQyQTGAzgBtIGKGC1jVbT-3-3LydI_XSIQB0HIqd95vNpLwWBYhxvIYfpuLhSP5wvl2shucWeus,Ok,1,0,Rajesh Prabhu,2020-12-21,com.android.chrome,5
295,5255,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGMJjQIvFWpgbtts0DS_LzybgUTgVRjFaRU85ydGWzdbeFZhMbS4xwz_oHUtVTFK7GzYqLD9XcpvvQ-aXo,This website is useless,1,0,gladys Perez,2020-12-21,com.android.chrome,1
297,5257,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFIFBtUR-NZHQ0EPOF2DhFUCkV8bMqGi5kRN474KIoDgxfnrsxGoIy1K9mEcBIkC2aEZMQ6BrPmRPbHM7A,Worst,1,0,Kaushik Phukan,2020-12-21,com.android.chrome,1
310,5842,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEYlspxjUosomPFeodvhH76GQusL9FHFsp-44k7SguXrEUckePcebnyP8mUQA6rZGX5ayXz4U0gz_CW2sc,Best,1,0,Vasava Govindbhai,2020-12-22,com.android.chrome,5
312,5844,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGf1DHgLVB8MYo_AMj9JCBpBp31NGREk-lSsvt5Zv0vXM5vJGNXLe77wGumcF01MqgLSvEA_eKHoM6E5PY,Good,1,0,Prem Kumar,2020-12-22,com.android.chrome,5
315,5847,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG0Ar7hmsN0GQxNQ1X4X4LXgvUu__uh9SMarL3y4XG2OTeos7wAOYZ_AvgmZK-0yfywuekuZOm5hmy2m2U,Nice,1,0,harsh pandey,2020-12-22,com.android.chrome,5
